customer_id,display_name,keywords
651dd8f9820e452aca4554d5 ,BUNGA CYBERCAFE AND BUSINESS CENTRE ,"[ ""Internet cafe near me "", ""Place to work "", ""Computer space near me "", ""Where can I send a email "", ""Where can i print "", ""Printing places near me "", ""Where can I join my online class "", ""Cyber cafes near me "", ""Printing Shop near me "", ""Cyber Cafe near me "", ""Bulk printing "", ""Business Card Printing "", ""Bulk Brochure Pri "
651e7681060dfa309d7d3ce6 ,KENE ONUORA CONSULTING ,"[ ""Fantastic investment opportunity "", ""Kubwa Abuja "", ""Clean and genuine FHA Title "", ""Well built and well finished houses and brand new "", ""Sale "", ""Abuja Real Estate "", ""Ensuite bungalows "", ""Abuja Property "", ""2Bedroom bungalow "", ""1Bedroom bungalow "", ""Houses for sale "", ""Apartment for sale "", ""Property listings "", ""Comm "
65201609e99f075ee52bf1e3 ,Maisinga Digitals ,"[ ""Virtual top up "", ""How to convert airtime to cash "", ""Best Vtu Website In Nigeria "", ""App to convert airtime to cash "", ""Airtime to cash app "", ""Convert airtime to cash "", ""Mtn share and sell "", ""Data card "", ""Airtime "", ""Data "", ""Buy cheap data "", ""MTN data "", ""Virtual top up "", ""How to convert airtime to cash "", ""Best Vtu  "
652c047fd00daa2fc13b4966 ,Toplink Unified Global Services ,"[ ""MTN DATA "", ""AIRTEL DATA "", ""GLO DATA "", ""9MOBILE DATA "", ""SME DATA "", ""CORPORATE DATA GIFTING "", ""CHEAP DATA "", ""Toplink Data App "", ""Toplink Data Services "", ""Toplink Unified Global Services "", ""Ogunsusi Temitope Amos "", ""Mobile Data Solution "", ""Airtime TopUp "", ""Prepaid Mobile Recharge "", ""PayAsYouGo "", ""Mobile Data Vouche "
65314d1bfc7206117d4d3915 ,The Scarf Shop ,"[ ""Scarf Store in Abuja "", ""Silk Scarves in Nigeria "", ""Affordable Luxury "", ""Hijab Magnets in Nigeria "", ""Scarves Near Me "", ""Hijab Near Me "", ""Hijabs "", ""Scarf "", ""Scarfs near me "", ""Abaya "", ""Abaya store near me "", ""Scarf Store in Abuja "", ""Silk Scarves in Nigeria "", ""Affordable Luxury "", ""Hijab Magnets in Nigeria "", ""Scarves  "
653623327f9477797402c14a ,Bloomingdale Beauty ,"[ ""Makeup artist in lekki "", ""Makeup artist in ikoyi "", ""Makeup artist in Chevron lekki "", ""Makeup artist in Victoria island "", ""Makeup artist in Osapa "", ""Makeup artist in Ikate "", ""Certified Makeup Artist "", ""Professional Makeup Artist "", ""Makeup Artist near me "", ""Bridal Makeup Specialist "", ""Fashion Makeup Artist "", "" "
653926ec1a6fdf40c62e5b03 ,TheWebmakers Academy ,"[ ""Website design "", ""Web design training in Ijebu Ode "", ""Web design training in Sagamu "", ""Web designing in Ijebu Igbo "", ""Web design training school in Ijebu Ode "", ""Web design training school in Sagamu "", ""Web design training school in Ijebu Igbo "", ""Web design training center in Ijebu Ode "", ""Web design trainin "
653a7dc8d426b84e77673a04 ,APT Achievers Consulting ,"[ ""Personal development "", ""Personal growth "", ""How to earn money "", ""How to start a business online "", ""How to start a business "", ""Legitimate online business "", ""How to earn money as an intrapreneur "", ""How to build wealth as an intrapreneur "", ""How to earn more money as an employee "", ""How to build wealth from your "
653f68a11edc5307ac2f4156 ,NULL,"[ ""Network marketer "", ""Products promoter "", ""Herbal Remedies "", ""Natural Remedies "", ""Alternative medicine "", ""Holistic wellness "", ""Therapeutic Herbs "", ""Traditional medicine "", ""Plant based therapies "", ""Wellness products "", ""Ayurvedic Treatments "", ""Network marketer "", ""Products promoter "", ""Herbal Remedies "", ""Natural Reme "
653fca70e48a0111e82519d9 ,Space Nigeria ,"[ ""Payment "", ""Social "", ""Money "", ""Account "", ""Post "", ""Comments "", ""Images "", ""Video "", ""Fundraising "", ""Poll "", ""Naira "", ""Payment "", ""Social "", ""Money "", ""Account "", ""Post "", ""Comments "", ""Images "", ""Video "", ""Fundraising "", ""Poll "", ""Naira ""] "
6541fe119f4b5d09a478f834 ,Fruitful Vine Parish Ikate ,"[ ""Service "", ""Church "", ""Prayers "", ""Choir "", ""Welfare "", ""Ikate "", ""TimeOak Hotel "", ""Message "", ""Annointing "", ""Bible study "", ""Fellowship "", ""Service "", ""Church "", ""Prayers "", ""Choir "", ""Welfare "", ""Ikate "", ""TimeOak Hotel "", ""Message "", ""Annointing "", ""Bible study "", ""Fellowship ""] "
65448c157188355fe20a0d05 ,Tina criuz cakes and event ,"[ ""Cakes in Awka "", ""Catering school in Awka "", ""Bakers in Awka "", ""Food tray delivery in Awka "", ""Best cakes in Awka "", ""Best cakes in Anambra "", ""Small chops in Awka "", ""Wedding cakes in Anambra "", ""Traditional marriage cakes in Anambra "", ""Cakes in nnewi "", ""Cake vendors in Onitsha "", ""Best cakes in Onitsha "", ""Catering  "
6544e90916ada1549959e844 ,Rosy online Global shopping store ,"[ ""Fashion "", ""Wigs "", ""Beauty "", ""Electronics "", ""Personal care products "", ""Trending Sneakers shoes "", ""Vitamin and supplements "", ""Frangrance "", ""Beauty products "", ""Electronics near me "", ""Mobile phone and power banks near me "", ""Fashion "", ""Wigs "", ""Beauty "", ""Electronics "", ""Personal care products "", ""Trending Sneakers shoes "" "
6550cefb672d601cf44ac495 ,Kinz cosmetics ,"[ ""Skincare shop "", ""Cosmetics shop "", ""Skincare products "", ""Organic beauty products "", ""Natural skincare products "", ""Luxury beauty products "", ""Holistic skincare solutions "", ""Online cosmetics shop "", ""Affordable skin care products "", ""Dermatologist approved skincare "", ""Health care serum "", ""Skin care serums "", ""Wash ge "
6552fb109b8dbd631a32e6f7 ,Selar.co ,"[ ""Massive business building techniques "", ""Massive Business growth course "", ""Fast and Rapid business development "", ""Affiliate marketing "", ""Make money online "", ""Earn passive income "", ""Work from home "", ""Online marketing "", ""Affiliate networks "", ""Affiliate programs "", ""Massive business building techniques "", ""Massive "
655553543ce77d3a7d5c6e94 ,Web-Density ,"[ ""Web developer "", ""Professional Web Design "", ""Custom Website Development "", ""Responsive Web Design "", ""Creative Web Solutions "", ""Ecommerce Website Design "", ""Affordable Web Design "", ""Modern Website Layouts "", ""Customized UXUI Design "", ""WordPress Website Design "", ""Website Redesign "", ""Small Business Website Design "", "
6555e375b3634d31a642d449 ,Clara_etsy ,"[ ""Etsy print on demand store "", ""Shopify print on demand store "", ""Shopify dropshipping setup "", ""Hire Shopify expert "", ""Design Shopify store "", ""Etsy pod "", ""Shopify pod "", ""Hire Etsy expert "", ""Etsy service "", ""Shopify service "", ""Ecommerce website optimisations "", ""Print on demand "", ""Shopify expert "", ""Etsy expert "", ""Ets "
6556216aa8976b0cd80cf5b3 ,Esson Logistics ,"[ ""Ecommerce Logistics "", ""Ecommerce delivery "", ""Logistics for business "", ""Dispatch delivery for business "", ""Logistics "", ""Shipping "", ""Transportation "", ""Supply Chain Management "", ""Delivery "", ""Courier "", ""SameDay delivery "", ""Dispatch bike delivery "", ""Ecommerce Logistics "", ""Ecommerce delivery "", ""Logistics for business "" "
6557382b51a8e539a23a3f50 ,Aziza Nigeria ,"[ ""NUPRC DPR Permit "", ""Nogic jqs registration "", ""NCDMB registration "", ""Oil and Gas Consultancy "", ""Company registration Nigeria "", ""Company formation Nigeria "", ""Start a business Nigeria "", ""Oil and gas permit "", ""NUPRC DPR Permit "", ""Nogic jqs registration "", ""NCDMB registration "", ""Oil and Gas Consultancy "", ""Company r "
655f30f2931d1355b376dc53 ,Blueline Raudah Industry ,"[ ""Blueline raudah "", ""Temperature Transmitter "", ""Mark VI Control Card "", ""Proximity Sensor "", ""7NG31301AB12ZY23 "", ""204450000002 "", ""IQS450 Proximity Sensor "", ""Mark VI Control Card VPRO "", ""SIEMENS SITRANS TF320420 7NG035 "", ""SITRANS TF320420 7NG035 "", ""7NG31301AB12ZY23 Temperature Transmitter "", ""Blueline raudah "", ""Tem "
655f78decc4b383e9b3d86a3 ,igwt branding services ,"[ ""Website design "", ""Domain registration "", ""Hosting services "", ""Email management "", ""Branding services "", ""Logo design "", ""Website design "", ""Domain registration "", ""Hosting services "", ""Email management "", ""Branding services "", ""Logo design ""] "
655fb763aa3dfc5bef50d1dc ,Garland gym equipment ,"[ ""Gym equipment "", ""Fitness equipment "", ""Gym gear "", ""Exercise machines "", ""Cardio equipment "", ""Strength training "", ""Workout accessories "", ""Weightlifting gear "", ""Home gym supplies "", ""Exercise tools "", ""Fitness Machine "", ""Aerobic exercise tools "", ""Gym equipment "", ""Fitness equipment "", ""Gym gear "", ""Exercise machines "", ""Ca "
65649031bf0a2362d174aad3 ,Campusdata ,"[ ""Cheap Data "", ""Airtime "", ""Cable "", ""Token "", ""Data "", ""Mobile airtime "", ""Prepaid mobile services "", ""Airtime vouchers "", ""Data recharges "", ""Internet bundles "", ""Airtime to cash "", ""Cheap Data "", ""Airtime "", ""Cable "", ""Token "", ""Data "", ""Mobile airtime "", ""Prepaid mobile services "", ""Airtime vouchers "", ""Data recharges "", ""Internet bu "
6564959356b4060aa1243575 ,Disney Official Studios ,"[ ""Money making skill "", ""Money "", ""Make money "", ""Graphic Design "", ""Freelance opportunities "", ""Income generation "", ""Cartoon Animation "", ""Latest "", ""Professional "", ""Skill "", ""Cartoon "", ""Design "", ""Course "", ""Money making skill "", ""Money "", ""Make money "", ""Graphic Design "", ""Freelance opportunities "", ""Income generation "", ""Cartoon  "
65656127d85c8a247a73e3e4 ,Double root coffee ,"[ ""Double root coffee "", ""Sexual performance "", ""Low Libido "", ""Erectile dysfunction "", ""Boost Fertility "", ""Sexual desire "", ""Stamina and performance "", ""Herbal ED pills "", ""Sexual wellness products "", ""Natural remedies for impotence "", ""Male enhancement products "", ""Erectile dysfunction solutions "", ""Performance enhancers "
65657c55f0f4827911427d34 ,SkillBoost Limited ,"[ ""Data analytics training in Port Harcourt "", ""Best data science institute in Port Harcourt "", ""Jobready data analytics skills "", ""Data analyst certification "", ""Analytics certification Port Harcourt "", ""Beginner data analytics training "", ""Best data analysis institute in Port Harcourt "", ""Website Design "", ""Websit "
6567b2cd619a1c41876150de ,Coolstuff49ja ,"[ ""Bicycle delivery jobs Lagos Glovo Chowdeck "", ""Bicycles riders in Lagos "", ""Delivery boy work "", ""Secondary school leaver job "", ""Daily work in Lagos "", ""Factory work in Lagos "", ""Bicycle delivery jobs Lagos Glovo Chowdeck "", ""Bicycles riders in Lagos "", ""Delivery boy work "", ""Secondary school leaver job "", ""Daily wo "
6567da8bc9b7fb7f2c389fe1 ,Enitz Global Concept ,"[ ""Household goods wholesalers in Nigeria "", ""Fashion accessories store "", ""Home improvements store "", ""Gift shop "", ""Sourvenir store "", ""Wholesale varieties store "", ""Kitchen supplies "", ""Kitchen utensils store "", ""Make money online "", ""Legit online business "", ""Profitable business ideas "", ""Wholesale shop "", ""Wholesaler "", "
656b647187fda47648475408 ,Wireless Pay Technology Limited ,"[ ""Wirelesspay "", ""Wireless Pay "", ""POS in Nigeria "", ""Moniepoint "", ""Swwipe "", ""Squad "", ""Payment gateway "", ""Bank payment API "", ""Open Business account "", ""Personal account "", ""Virtual account API integration "", ""Wirelesspay "", ""Wireless Pay "", ""POS in Nigeria "", ""Moniepoint "", ""Swwipe "", ""Squad "", ""Payment gateway "", ""Bank payment A "
656cd99ee9cd0a203056b247 ,Afriquest Solutions ,"[ ""Business Opportunities "", ""B2B Solutions "", ""B2C Solutions "", ""Imports and Exports "", ""Social Media Management "", ""Visa Procurement "", ""Travel Management "", ""Corporate Events "", ""Marketing Communications "", ""Sales and Marketing "", ""Retirement Havens "", ""Real Estate "", ""Consultancy Services "", ""African Diaspora "", ""Business O "
6572bee3aa75c5226f4459cb ,SkillBoost Limited ,"[ ""Web Development Bootcamp "", ""Web Development Training in Port Harcourt "", ""FrontEnd Developer Tools "", ""Website Development "", ""IT Training in Port Harcourt "", ""UIUX Design Training in Port Harcourt "", ""FrontEnd Development Certification "", ""Tech Skills in Port Harcourt "", ""Website Design Agency in Port Harcourt "" "
6581a618e617030711016764 ,NULL,"[ ""How to make money online "", ""How to make money "", ""Books to make money "", ""Where can I learn to make money online "", ""Making money online "", ""Make money today "", ""Passive income strategies "", ""Make money with ebooks "", ""Moneymaking secrets "", ""Online business coaching "", ""Learn to make money online "", ""Internet moneyma "
65829750b5cc6f6433548124 ,MTN Thryve ,"[ ""Meta Ads "", ""Facebook Ads "", ""Bundles "", ""MTN Bundles "", ""Airtime balance "", ""Data bundles "", ""Cheap data bundles "", ""Business "", ""SME "", ""Small business "", ""Online businesses "", ""Digital marketing "", ""Marketing "", ""Online marketing "", ""Facebook advertising "", ""Instagram ads "", ""Website "", ""Free website "", ""Web "", ""Ecommerce "", ""Leads "", "
